"Fricative_phoneme","Fricative_phonetic","Mean_CoG","Mean_Sdev","Mean_Skew","Mean_Kurt","Mean_Duration","Mean_Intensity","N"
"ɕᶣ","ɕᶣ",2281.68,1219.61,6,62.78,119.19,54.2,6
"d͡ʑᶣ","d͡ʑᶣ",2385.88,1455.52,4.86,37.33,59.05,47.59,12
"f","f",8655.13,4852.9,-0.1,-0.69,125.82,45.58,20
"f","fʲ",8065.06,5258.84,0.22,-0.87,114.92,49.62,34
"f","fʷ",7087.46,4963.59,0.46,-0.19,114.6,46.05,26
"g","d͡ʑ",4550.29,2500.24,1.24,4.94,59.28,46.68,15
"h","ɕ",3985.99,1792.35,2.69,14.44,145.8,54.11,7
"h","h",1392.61,1010.98,6.28,83.09,96.21,45.66,7
"h","hʲ",3493.01,3512.61,1.82,3.93,95.85,33.41,2
"h","hʷ",813.5,1135.91,14.66,387.78,68.8,43.94,25
"k","t͡ɕ",4552.9,2028.48,2.1,9.51,99.57,56.09,11
"s","s",8535.63,1864.99,0.4,3.9,136.73,57.66,19
"s","sʲ",8662.3,1908.82,0.66,4.62,148.32,55.84,30
"s","sʷ",7655.09,2353.35,-0.29,1.03,131.8,54.94,16
"t͡ɕᶣ","t͡ɕᶣ",2472.27,1820.54,3.85,24.25,82.95,55.32,5
NA,NA,NA,NA,NA,NA,NA,NA,1
