Name,Frequency,Intensity
h,0,11.02842161
h,10.76660156,20.3336826
h,21.53320313,22.78265884
h,32.29980469,18.0306918
h,43.06640625,14.69911372
h,53.83300781,15.21477054
h,64.59960938,16.90323522
h,75.36621094,19.76032823
h,86.1328125,18.17314372
h,96.89941406,20.12092706
h,107.6660156,12.87967381
h,118.4326172,7.704744481
h,129.1992188,12.00777815
h,139.9658203,2.119680347
h,150.7324219,14.17048406
h,161.4990234,11.19268403
h,172.265625,16.41608186
h,183.0322266,5.640966647
h,193.7988281,5.354434873
h,204.5654297,13.62352841
h,215.3320313,8.685443891
h,226.0986328,13.16504767
h,236.8652344,17.76483275
h,247.6318359,14.4026614
h,258.3984375,-5.308572806
h,269.1650391,10.64696638
h,279.9316406,16.99978028
h,290.6982422,11.62120394
h,301.4648438,13.46958779
h,312.2314453,12.29720432
h,322.9980469,8.652887867
h,333.7646484,18.75342406
h,344.53125,20.22439314
h,355.2978516,16.77907072
h,366.0644531,17.59384233
h,376.8310547,20.35951457
h,387.5976563,26.87458797
h,398.3642578,20.23575524
h,409.1308594,10.87327546
h,419.8974609,25.10421639
h,430.6640625,22.75530754
h,441.4306641,16.91589899
h,452.1972656,17.37769889
h,462.9638672,18.53723493
h,473.7304688,5.432793766
h,484.4970703,8.318868005
h,495.2636719,6.58242906
h,506.0302734,17.33711565
h,516.796875,2.806932127
h,527.5634766,13.93929363
h,538.3300781,7.392957564
h,549.0966797,22.26633332
h,559.8632813,23.26867835
h,570.6298828,19.08098446
h,581.3964844,-3.456576821
h,592.1630859,21.33053875
h,602.9296875,18.5493803
h,613.6962891,28.63473944
h,624.4628906,25.23185323
h,635.2294922,20.40268643
h,645.9960938,25.16091179
h,656.7626953,27.01492474
h,667.5292969,25.02664978
h,678.2958984,28.76709543
h,689.0625,32.25209122
h,699.8291016,37.46138769
h,710.5957031,32.32937319
h,721.3623047,25.89667393
h,732.1289063,23.96596125
h,742.8955078,26.32831898
h,753.6621094,19.14473826
h,764.4287109,15.48715548
h,775.1953125,15.07685443
h,785.9619141,4.066216073
h,796.7285156,13.42035406
h,807.4951172,17.11795638
h,818.2617188,18.16106833
h,829.0283203,14.60845478
h,839.7949219,23.45680798
h,850.5615234,10.8810469
h,861.328125,23.08733929
h,872.0947266,6.3954679
h,882.8613281,17.12878826
h,893.6279297,0.269381303
h,904.3945313,15.48136529
h,915.1611328,13.43154062
h,925.9277344,12.75925549
h,936.6943359,16.99727775
h,947.4609375,12.04078093
h,958.2275391,8.142493499
h,968.9941406,19.69779912
h,979.7607422,19.91775476
h,990.5273438,12.53989698
h,1001.293945,2.731450882
h,1012.060547,8.264532223
h,1022.827148,12.39035224
h,1033.59375,11.85355617
h,1044.360352,12.26601145
h,1055.126953,7.901397962
h,1065.893555,11.00112347
h,1076.660156,8.693500151
h,1087.426758,11.56158035
h,1098.193359,-8.635194173
h,1108.959961,12.82078131
h,1119.726563,12.33798139
h,1130.493164,8.913482109
h,1141.259766,11.74553981
h,1152.026367,11.44674326
h,1162.792969,-0.285741065
h,1173.55957,-17.02491136
h,1184.326172,4.685763052
h,1195.092773,15.06745439
h,1205.859375,10.26092388
h,1216.625977,7.587817456
h,1227.392578,12.76789962
h,1238.15918,4.829789805
h,1248.925781,5.906794199
h,1259.692383,10.31845487
h,1270.458984,-6.1436449
h,1281.225586,7.921367182
h,1291.992188,11.32357908
h,1302.758789,9.077605195
h,1313.525391,4.510952715
h,1324.291992,-3.755066938
h,1335.058594,9.690474314
h,1345.825195,12.36957899
h,1356.591797,8.969144397
h,1367.358398,4.368615105
h,1378.125,2.643583509
h,1388.891602,8.165571878
h,1399.658203,-4.213527336
h,1410.424805,10.3852897
h,1421.191406,7.510884176
h,1431.958008,-12.0508443
h,1442.724609,3.425385963
h,1453.491211,10.58180176
h,1464.257813,8.47691431
h,1475.024414,2.608889022
h,1485.791016,-5.509338929
h,1496.557617,7.634597217
h,1507.324219,6.737076822
h,1518.09082,4.301963953
h,1528.857422,1.352366187
h,1539.624023,-1.586789837
h,1550.390625,-7.138752521
h,1561.157227,-1.976722106
h,1571.923828,5.640165569
h,1582.69043,-2.8218877
h,1593.457031,-17.02046147
h,1604.223633,-2.501360785
h,1614.990234,1.44949309
h,1625.756836,6.576090499
h,1636.523438,7.796587937
h,1647.290039,6.177040583
h,1658.056641,2.837622345
h,1668.823242,0.218968683
h,1679.589844,-0.965553501
h,1690.356445,3.50303214
h,1701.123047,9.098519947
h,1711.889648,2.27977066
h,1722.65625,-1.20880538
h,1733.422852,-0.955644306
h,1744.189453,-17.65957124
h,1754.956055,-3.924340207
h,1765.722656,-12.86672819
h,1776.489258,1.202373983
h,1787.255859,-3.322715388
h,1798.022461,5.96504613
h,1808.789063,4.419475947
h,1819.555664,2.663500931
h,1830.322266,-8.242636935
h,1841.088867,0.307818117
h,1851.855469,8.533485217
h,1862.62207,4.139570502
h,1873.388672,-7.775209992
h,1884.155273,-12.57100793
h,1894.921875,-9.008065211
h,1905.688477,-10.62793065
h,1916.455078,1.74735911
h,1927.22168,-7.314368578
h,1937.988281,-5.172746388
h,1948.754883,-0.223399674
h,1959.521484,5.604677975
h,1970.288086,2.001272928
h,1981.054688,-2.035801239
h,1991.821289,-0.906441799
h,2002.587891,-2.427446761
h,2013.354492,-4.450836021
h,2024.121094,-0.29286735
h,2034.887695,-1.690314415
h,2045.654297,-0.118004307
h,2056.420898,3.652067018
h,2067.1875,5.456649825
h,2077.954102,-8.021571016
h,2088.720703,-2.2292163
h,2099.487305,1.250610913
h,2110.253906,0.745885565
h,2121.020508,-3.613645069
h,2131.787109,0.403345053
h,2142.553711,5.064600165
h,2153.320313,-1.692428894
h,2164.086914,-1.6108986
h,2174.853516,-1.56013883
h,2185.620117,-11.46809919
h,2196.386719,-9.871942412
h,2207.15332,-5.673163755
h,2217.919922,-1.4474338
h,2228.686523,-1.265021724
h,2239.453125,-2.675292576
h,2250.219727,-1.160211329
h,2260.986328,1.786321887
h,2271.75293,-10.63400022
h,2282.519531,1.077442094
h,2293.286133,-1.877191948
h,2304.052734,-16.29815373
h,2314.819336,-6.101700883
h,2325.585938,-7.275446157
h,2336.352539,-7.863357577
h,2347.119141,0.551288752
h,2357.885742,-3.804135461
h,2368.652344,-6.968920649
h,2379.418945,-7.980139402
h,2390.185547,-8.409489361
h,2400.952148,-6.31287673
h,2411.71875,-6.284074692
h,2422.485352,-1.939227081
h,2433.251953,-7.826634894
h,2444.018555,-14.601591
h,2454.785156,-11.04470696
h,2465.551758,-15.01831022
h,2476.318359,-19.55787379
h,2487.084961,-7.743521827
h,2497.851563,-2.562733137
h,2508.618164,-7.456113861
h,2519.384766,-12.83909959
h,2530.151367,-12.38169189
h,2540.917969,-4.669736363
h,2551.68457,-1.150254707
h,2562.451172,-6.257482042
h,2573.217773,-4.387124894
h,2583.984375,-4.843333668
h,2594.750977,-6.377175537
h,2605.517578,-7.570694947
h,2616.28418,-5.324768433
h,2627.050781,-9.582624357
h,2637.817383,-7.004643107
h,2648.583984,-0.99137149
h,2659.350586,-14.14554737
h,2670.117188,-11.98868831
h,2680.883789,-1.293226208
h,2691.650391,-3.55259601
h,2702.416992,-12.06254513
h,2713.183594,-10.37391524
h,2723.950195,-6.622274786
h,2734.716797,-2.52328694
h,2745.483398,-2.248748291
h,2756.25,-7.087648485
h,2767.016602,-21.4618597
h,2777.783203,-7.791528325
h,2788.549805,-5.765766934
h,2799.316406,-10.26554373
h,2810.083008,-12.85517802
h,2820.849609,-8.689188921
h,2831.616211,-5.540720904
h,2842.382813,-1.183833439
h,2853.149414,-4.836384354
h,2863.916016,-5.703159738
h,2874.682617,-12.69765978
h,2885.449219,-1.974855718
h,2896.21582,-3.431217831
h,2906.982422,-10.90676804
h,2917.749023,-11.7051382
h,2928.515625,-7.647040861
h,2939.282227,-5.552724088
h,2950.048828,-6.014610204
h,2960.81543,-5.22128713
h,2971.582031,-12.33328403
h,2982.348633,-4.37442977
h,2993.115234,-5.777658357
h,3003.881836,-25.11997428
h,3014.648438,-11.4841651
h,3025.415039,-9.308995992
h,3036.181641,-6.358922793
h,3046.948242,-13.37660891
h,3057.714844,-1.80477016
h,3068.481445,-1.760085478
h,3079.248047,-7.404862357
h,3090.014648,-4.996610719
h,3100.78125,-2.589335374
h,3111.547852,-13.26269105
h,3122.314453,-20.13438678
h,3133.081055,-3.029754205
h,3143.847656,0.985368645
h,3154.614258,0.010464747
h,3165.380859,-2.440932047
h,3176.147461,-3.124970309
h,3186.914063,-2.459496149
h,3197.680664,-6.213496664
h,3208.447266,-16.00388088
h,3219.213867,-7.728773897
h,3229.980469,-1.826403931
h,3240.74707,-1.853686
h,3251.513672,-12.44226944
h,3262.280273,-14.64049293
h,3273.046875,-1.55729503
h,3283.813477,-3.117519648
h,3294.580078,-2.375619609
h,3305.34668,-5.596279363
h,3316.113281,-13.81884293
h,3326.879883,-6.631949912
h,3337.646484,-9.082766139
h,3348.413086,-7.067422635
h,3359.179688,0.056874756
h,3369.946289,1.440322857
h,3380.712891,2.106121045
h,3391.479492,-2.053600064
h,3402.246094,-8.94240133
h,3413.012695,-6.436852441
h,3423.779297,-17.20129632
h,3434.545898,-7.180540755
h,3445.3125,-10.19531088
h,3456.079102,-6.128183688
h,3466.845703,-4.019160911
h,3477.612305,-20.01478818
h,3488.378906,-10.13403644
h,3499.145508,-7.616296163
h,3509.912109,-10.35007195
h,3520.678711,-12.26379695
h,3531.445313,-10.61260643
h,3542.211914,-5.862205347
h,3552.978516,-2.376496017
h,3563.745117,-0.233883555
h,3574.511719,-3.113774985
h,3585.27832,-6.595687358
h,3596.044922,-1.025098741
h,3606.811523,1.81010921
h,3617.578125,-1.693760988
h,3628.344727,-6.021888638
h,3639.111328,-2.431191752
h,3649.87793,-9.088961546
h,3660.644531,-4.056576977
h,3671.411133,1.889289836
h,3682.177734,1.348659479
h,3692.944336,-5.53328838
h,3703.710938,-7.345693037
h,3714.477539,-9.145620887
h,3725.244141,-14.47891598
h,3736.010742,-8.939899701
h,3746.777344,-2.533931483
h,3757.543945,-1.7996769
h,3768.310547,-5.746987386
h,3779.077148,-13.13825893
h,3789.84375,-15.14978585
h,3800.610352,-7.221050072
h,3811.376953,-10.5543374
h,3822.143555,-12.57422762
h,3832.910156,-3.265498291
h,3843.676758,-3.700317449
h,3854.443359,-10.88110157
h,3865.209961,-12.01878027
h,3875.976563,-19.55272692
h,3886.743164,-12.33721056
h,3897.509766,-17.79053601
h,3908.276367,-8.516770549
h,3919.042969,-9.760088631
h,3929.80957,-10.22984744
h,3940.576172,-8.537455578
h,3951.342773,-19.29572638
h,3962.109375,-18.44498308
h,3972.875977,-11.56317732
