speaker_id,word,vowel_id,syllable_type,duration,F1,F2,F3,sex
Moses-012_mono,?di,i,open,0.18571,284,1892,2419,male
Ama-023_mono,s?,3,open,0.2389,485,2134,2582,female
Ama-023_mono,ad??,3,open,0.20106,375,2240,4358,female
Eric-020_mono,?b?,2,open,0.10863,440,1758,2708,male
Moses-012_mono,?b?,2,closed,0.08966,440,1767,2378,male
Vincent-019_mono,hu,u,open,0.14291,261,647,2159,male
Vincent-019_mono,?p?,4,open,0.09969,450,526,2373,male
Ama-023_mono,obi,o,closed,0.08223,364,750,2752,female
Ama-023_mono,?p?,1,open,0.16553,629,858,2460,female
Moses-012_mono,ab?,a,closed,0.13241,920,1129,2346,male
Eric-020_mono,ab?,2,open,0.11695,441,1670,2360,male
Attah-021_mono,s?,3,open,0.11344,429,1868,2544,male
Attah-021_mono,ad??,3,open,0.17329,377,2015,2846,male
Boampong-009_mono,s?,3,open,0.08171,356,1894,2528,male
Vincent-019_mono,?p?,2,closed,0.07214,444,2191,2975,male
Boampong-009_mono,ab?,a,closed,0.08923,653,1141,1951,male
Eric-020_mono,ebi,i,open,0.0902,198,1898,2613,male
Ama-023_mono,?b?,2,closed,0.08834,443,2168,4411,female
Eric-020_mono,obi,i,open,0.09341,233,1936,2662,male
Eric-020_mono,?p?,2,closed,0.10377,458,1575,2226,male
Eric-020_mono,?b?,2,closed,0.09824,464,1667,2623,male
Boampong-009_mono,ad??,3,open,0.14438,408,2049,2920,male
Ama-023_mono,hu,u,open,0.22176,273,663,2729,female
Eric-020_mono,?p?,4,open,0.12246,352,561,2319,male
Eric-020_mono,ab?,a,closed,0.11471,666,1156,2221,male
Boampong-009_mono,fa,a,open,0.09982,603,1160,2225,male
Ama-023_mono,ko,o,open,0.20841,476,743,2800,female
Ama-023_mono,k?,1,open,0.19069,507,797,2491,female
Yaw-007_mono,obi,i,open,0.12896,267,1955,2931,male
Cynthia-013_mono,ad??,3,open,0.40982,399,1925,2567,female
Cynthia-013_mono,s?,3,open,0.19732,552,1959,2427,female
Precious-015_mono,?p?,2,closed,0.08621,462,1516,2302,female
Yaw-007_mono,?b?,2,open,0.11484,466,1703,2569,male
Vincent-019_mono,?p?,2,closed,0.07624,466,2109,2919,male
FELIX-02_mono,hu,u,open,0.18329,272,673,2095,male
Sly-022,?p?,4,open,0.14795,398,590,2338,male
Cynthia-013_mono,obi,o,closed,0.10111,422,872,2255,female
Cynthia-013_mono,?p?,1,open,0.12966,572,996,2269,female
Precious-015_mono,ad??,a,closed,0.11184,762,1163,1781,female
Eric-020_mono,?di,i,open,0.1322,233,1964,2683,male
Elizabeth-010_mono,ad??,3,open,0.11235,423,2694,3259,female
Eric-020_mono,ad??,3,open,0.13065,398,1796,2989,male
Vincent-019_mono,?b?,2,open,0.11245,469,2053,2859,male
Osei-016_mono,?p?,2,closed,0.08788,481,1775,2456,male
Boampong-009_mono,?b?,2,closed,0.10031,481,1905,2531,male
Boampong-009_mono,hu,u,open,0.11061,261,689,2103,male
Boampong-009_mono,?p?,4,open,0.09384,314,626,2181,male
Elizabeth-010_mono,obi,o,closed,0.10492,424,869,2511,female
Elizabeth-010_mono,?p?,1,open,0.1572,784,1213,2290,female
Boampong-009_mono,ad??,a,closed,0.10842,651,1208,2371,male
Osei-016_mono,obi,i,open,0.10146,227,2007,2204,male
