Filename,var1,var2,Vowel,seg_Start,seg_End,t,t_ms,f0,H1H2c,CPP,ATR,Gender
Attah-021_mono,Attah-021,mono,i,75.754,75.881,1,75.759,139.288,8.482,15.336,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,2,75.764,141.178,8.041,20.049,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,3,75.769,143.069,8.569,17.407,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,4,75.774,144.841,9.652,21.96,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,5,75.779,146.593,10.193,21.714,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,6,75.784,148.345,10.244,21.392,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,7,75.789,148.683,10.511,23.739,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,8,75.794,148.771,10.148,25.216,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,9,75.799,148.858,9.82,24.977,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,10,75.804,148.484,10.229,21.559,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,11,75.809,148.028,10.656,21.218,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,12,75.814,147.571,10.273,21.917,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,13,75.819,147.294,10.407,22.079,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,14,75.824,147.048,10.598,23.859,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,15,75.829,146.802,10.485,20.235,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,16,75.834,146.418,10.243,16.448,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,17,75.839,146.01,9.946,16.188,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,18,75.844,145.602,7.022,11.276,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,19,75.849,144.658,4.283,12.737,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,20,75.854,143.62,6.498,12.338,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,21,75.859,142.582,3.663,12.204,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,22,75.864,142.426,3.787,16.25,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,23,75.869,142.427,4.453,12.25,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,24,75.874,142.428,4.508,14.424,+ATR,M
Attah-021_mono,Attah-021,mono,i,75.754,75.881,25,75.879,142.774,10.812,13.154,+ATR,M
Attah-021_mono,Attah-021,mono,ɪ,77.384,77.561,1,77.389,141.668,14.513,17.502,-ATR,M
Attah-021_mono,Attah-021,mono,ɪ,77.384,77.561,2,77.394,142.969,11.394,16.143,-ATR,M
Attah-021_mono,Attah-021,mono,ɪ,77.384,77.561,3,77.399,143.862,9.779,17.082,-ATR,M
Attah-021_mono,Attah-021,mono,ɪ,77.384,77.561,4,77.404,144.755,7.332,12.031,-ATR,M
Attah-021_mono,Attah-021,mono,ɪ,77.384,77.561,5,77.409,145.168,5.776,21.993,-ATR,M
Attah-021_mono,Attah-021,mono,ɪ,77.384,77.561,6,77.414,145.453,4.041,23.291,-ATR,M
Attah-021_mono,Attah-021,mono,ɪ,77.384,77.561,7,77.419,145.739,2.707,25.325,-ATR,M
Attah-021_mono,Attah-021,mono,ɪ,77.384,77.561,8,77.424,146.466,3.181,21.384,-ATR,M
Attah-021_mono,Attah-021,mono,ɪ,77.384,77.561,9,77.429,147.311,4.245,25.335,-ATR,M
Attah-021_mono,Attah-021,mono,ɪ,77.384,77.561,10,77.434,148.156,4.737,24.314,-ATR,M
Attah-021_mono,Attah-021,mono,ɪ,77.384,77.561,11,77.439,149.122,5.556,23.736,-ATR,M
Attah-021_mono,Attah-021,mono,ɪ,77.384,77.561,12,77.444,150.12,6.085,22.413,-ATR,M
Attah-021_mono,Attah-021,mono,ɪ,77.384,77.561,13,77.449,151.119,6.136,22.06,-ATR,M
Attah-021_mono,Attah-021,mono,ɪ,77.384,77.561,14,77.454,151.621,6.132,25.668,-ATR,M
Attah-021_mono,Attah-021,mono,ɪ,77.384,77.561,15,77.459,151.991,6.199,24.63,-ATR,M
