speaker_id,word,vowel_id,duration,F1,F2,F3
Ama-023_mono,k?,1,0.19069,631,1014,2491
Ama-023_mono,pi,i,0.20011,273,2894,3411
Ama-023_mono,ko,o,0.20841,476,743,2800
Ama-023_mono,hu,u,0.2188,313,638,2167
Ama-023_mono,f?,3,0.2312,456,2246,2761
Ama-023_mono,da,a,0.26511,747,1841,2774
Ama-023_mono,f?,4,0.27999,461,781,2668
Ama-023_mono,f?:n?:,44,0.30364,427,756,2442
Ama-023_mono,ko:ko,o:,0.31368,415,849,2817
Ama-023_mono,d?,2,0.34608,476,2334,2739
Ama-023_mono,pi:,i:,0.68061,280,2607,3725
Ama-023_mono,f?:,33,0.70156,405,2658,3025
Ama-023_mono,k?:,11,0.70546,476,725,2697
Ama-023_mono,d?:,22,0.72417,482,2327,2722
Ama-023_mono,da:,a:,0.76299,1061,1727,2872
Ama-023_mono,hu:,u:,0.78946,249,439,--undefined--
Attah-021_mono,k?,1,0.10461,640,1166,2022
Attah-021_mono,f?,4,0.12891,564,1503,2556
Attah-021_mono,ko,o,0.1322,624,1024,1938
Attah-021_mono,pi,i,0.1361,311,2085,2932
Attah-021_mono,f?,3,0.13961,455,1803,2556
Attah-021_mono,hu,u,0.15242,344,717,2160
Attah-021_mono,ko:ko,o:,0.1577,448,770,2340
Attah-021_mono,d?,2,0.1757,528,1806,2616
Attah-021_mono,da,a,0.17681,670,1644,2871
Attah-021_mono,f?:n?:,44,0.1884,615,1584,2537
Attah-021_mono,pi:,i:,0.53576,290,2114,3063
Attah-021_mono,f?:,33,0.59825,384,2149,3118
Attah-021_mono,d?:,22,0.60145,476,1888,2668
Attah-021_mono,k?:,11,0.60405,534,1240,2012
Attah-021_mono,da:,a:,0.62154,722,1415,2484
Attah-021_mono,hu:,u:,0.686,397,655,2239
Boampong-009_mono,ko,o,0.09835,389,1273,2709
Boampong-009_mono,pi,i,0.09987,251,2248,3152
Boampong-009_mono,f?,3,0.10578,346,1869,2253
Boampong-009_mono,k?,1,0.10951,330,795,1940
Boampong-009_mono,f?,4,0.11367,389,679,2266
Boampong-009_mono,hu,u,0.11609,292,850,2168
Boampong-009_mono,ko:ko,o:,0.15575,323,788,2156
Boampong-009_mono,f?:n?:,44,0.16607,363,857,2127
Boampong-009_mono,da,a,0.17254,718,1460,2414
Boampong-009_mono,d?,2,0.18249,492,1906,2683
Boampong-009_mono,pi:,i:,0.37267,222,2085,2955
Boampong-009_mono,hu:,u:,0.46684,287,977,2143
Boampong-009_mono,f?:,33,0.47227,321,2218,3122
Boampong-009_mono,d?:,22,0.4895,447,2021,3264
Boampong-009_mono,k?:,11,0.4993,380,598,1990
Boampong-009_mono,da:,a:,0.55841,697,1567,2489
Cynthia-013_mono,pi,i,0.1315,335,2249,2576
Cynthia-013_mono,da,a,0.13475,920,1706,2201
Cynthia-013_mono,k?,1,0.13588,598,1174,2200
Cynthia-013_mono,f?,3,0.17974,510,1908,2430
Cynthia-013_mono,d?,2,0.20201,558,1920,2511
Cynthia-013_mono,ko:ko,o:,0.21817,481,966,2361
Cynthia-013_mono,f?:n?:,44,0.24385,484,1086,2345
Cynthia-013_mono,f?,4,0.24798,516,1064,2330
Cynthia-013_mono,hu,u,0.2556,543,1269,2702
Cynthia-013_mono,ko,o,0.29231,491,1008,2326
Cynthia-013_mono,k?:,11,0.34879,595,998,2113
Cynthia-013_mono,d?:,22,0.3803,575,1958,2370
Cynthia-013_mono,pi:,i:,0.3824,253,2167,2928
Cynthia-013_mono,hu:,u:,0.40517,373,1102,2496
Cynthia-013_mono,f?:,33,0.42181,418,2123,2566
Cynthia-013_mono,da:,a:,0.46518,765,1740,2225
Eric-020_mono,f?,4,0.11042,590,1659,3178
Eric-020_mono,pi,i,0.11247,564,2091,3099
Eric-020_mono,hu,u,0.11518,245,1219,2247
Eric-020_mono,k?,1,0.11821,635,944,1951
Eric-020_mono,f?,3,0.12024,372,1212,2470
